Membrane potential (mV),Stimulus,Total Current Input (a.u.)
-51,1,27
-44.82,1,27
-31.86,1,27
11.16,1,27
-65.84,1,27
-66.79,1,27
-67.59,1,27
-67.85,1,27
-67.87,1,27
-67.73,1,27
-67.45,1,27
-67.06,1,27
-66.6,1,27
-66.06,1,27
-65.44,1,27
-64.76,1,27
-63.99,1,27
-63.12,1,27
-62.13,1,27
-60.97,1,27
-59.57,1,27
-57.84,1,27
-55.55,1,27
-52.3,1,27
-47.1,1,27
-37.07,1,27
-9.29,1,27
-65.44,1,27
-66.52,0,23.01
-69.43,0,19.09
-72.8,0,15.64
-77.27,0,2
-84.42,0,1
-87.13,0,2
-87.51,0,2
-87.46,0,2
-87.32,0,2
-87.16,0,2
-86.99,0,2
-86.83,0,2
-86.66,0,2
-86.57,0,2
-86.35,0,2
-86.18,0,2
-86.02,0,2
-85.86,0,2
-85.7,0,2
-85.54,0,2
-85.59,0,2
-85.28,0,2
-85.09,0,2
-84.93,0,2
-84.77,0,2
-84.7,0,2
-84.49,0,2
-84.33,0,2
-84.18,0,2
-84.03,0,2
-83.88,0,2
-83.74,0,2
-83.59,0,2
-83.45,0,2
-83.31,0,2
-83.17,0,2
-83.03,0,2
-82.89,0,2
-82.75,0,2
-82.61,0,2
-82.57,0,2
-82.37,0,2
-82.21,0,2
-82.07,0,2
-81.94,0,2
-81.8,0,2
-81.77,0,2
-81.57,0,2
-81.42,0,2
-81.29,0,2
-81.16,0,2
-81.03,0,2
-80.9,0,2
-80.78,0,2
-80.65,0,2
-80.53,0,2
-80.41,0,2
-80.29,0,2
-80.16,0,2
-80.04,0,2
-79.92,0,2
-79.81,0,2
-79.69,0,2
-79.57,0,2
-79.46,0,2
-79.45,0,2
-79.27,0,2
-79.13,0,2
-79,0,2
-78.89,0,2
-78.78,0,2
-78.66,0,2
-78.55,0,2
-78.45,0,2
-78.34,0,2
-78.23,0,2
-78.12,0,2
-78.02,0,2
-78.11,0,2
-77.89,0,2
-77.74,0,1
-77.77,0,2
-77.57,0,2
-77.43,0,2
-77.31,0,2
-77.2,0,2
-77.3,0,2
-77.2,0,2
-76.99,0,2
-76.84,0,2
-76.72,0,1
-76.77,0,2
-76.59,0,2
-76.45,1,51.75
-39.57,1,159.28
-35.04,1,135.93
-47.08,1,65.76
6.2,1,31.69
-63.71,1,27.57
-63.41,1,27.07
-63.3,1,27.01
-63.08,1,27
-62.7,1,27
-62.16,1,27
-61.46,1,27
-60.56,1,27
-59.42,1,27
-57.96,1,27
-56.02,1,27
-53.28,1,27
-49.04,1,26
-41.64,1,27
-23.91,1,27
-65,1,27
-66.4,1,27
-67.39,1,27
-67.99,1,27
-68.28,1,26
-68.51,1,27
-68.33,1,27
-68.03,1,27
-67.64,1,27
-67.17,1,27
-66.64,1,27
-66.05,1,27
-65.4,1,27
-64.67,1,27.01
-63.86,1,27
-62.96,1,27
-61.92,1,26.98
-60.72,1,27
-59.26,1,27
-57.43,1,27
-54.98,1,27
-51.43,1,27
-45.57,1,27
-33.62,1,27
3.7,1,26.01
-66.02,1,27
-66.92,1,27
-67.48,1,27.01
-67.74,1,26.99
-67.78,1,27
-67.64,1,25.98
-67.56,1,27
-67.34,1,27
-66.81,1,27
-66.21,1,27
-65.56,1,27
-64.85,1,27
-64.06,1,27
-63.17,1,27
-62.16,1,27
-60.99,1,27
-59.58,1,27
-58.05,1,27
-55.81,1,27
-52.66,1,27
-47.68,1,27
-38.27,1,27.01
-13.29,1,27
-65.43,1,27
-66.48,1,27
-67.18,1,26.99
-67.56,1,27
